unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,decision
1,0.5,2,0.0,0.0,0,0,0,FLAG
1,0.5,2,0.0,0.0,0,0,0,FLAG
3,0.25,4,0.0,0.0,0,0,0,FLAG
0,0.0,0,0.0,0.0,0,0,0,FLAG
1,0.5,2,0.0,0.0,0,0,0,FLAG
3,0.25,4,0.0,0.0,0,0,0,FLAG
0,1.0,1,0.0,0.0,0,0,0,REPAIR
1,0.5,2,0.0,0.0,0,0,0,FLAG
3,0.25,4,0.0,0.0,0,0,0,FLAG
0,1.0,0,0.0,0.0,0,0,0,ACCEPT
0,1.0,1,0.0,0.0,0,0,0,REPAIR
3,0.25,0,0.0,0.0,0,0,0,FLAG
0,1.0,0,0.0,0.0,0,0,0,ACCEPT
0,1.0,1,0.0,0.0,0,0,0,REPAIR
3,0.25,0,0.0,0.0,0,0,0,FLAG
0,1.0,0,0.0,0.0,0,0,2,ACCEPT
0,1.0,0,0.0,0.0,0,0,2,ACCEPT
0,1.0,0,0.0,0.0,0,0,2,ACCEPT
0,1.0,1,0.0,0.0,0,0,2,REPAIR
1,0.5,0,0.0,0.0,0,0,1,FLAG
1,0.5,0,0.0,0.0,0,0,1,FLAG
0,1.0,0,0.0004945598417408506,0.0002472799208704253,0,0,2,ACCEPT
1,0.75,0,0.0,0.0,0,0,2,FLAG
